Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q03013	GSTM4_HUMAN	reviewed	Glutathione S-transferase Mu 4 (EC 2.5.1.18) (GST class-mu 4) (GST-Mu2) (GSTM4-4)	GSTM4	Homo sapiens (Human)	218
P30711	GSTT1_HUMAN	reviewed	Glutathione S-transferase theta-1 (EC 2.5.1.18) (GST class-theta-1) (Glutathione transferase T1-1)	GSTT1	Homo sapiens (Human)	240
Q71DI3	H32_HUMAN	reviewed	Histone H3.2 (Histone H3/m) (Histone H3/o)	HIST2H3A; HIST2H3C H3F2 H3FM; HIST2H3D	Homo sapiens (Human)	136
Q92636	FAN_HUMAN	reviewed	Protein FAN (Factor associated with neutral sphingomyelinase activation) (Factor associated with N-SMase activation)	NSMAF FAN	Homo sapiens (Human)	917
O75356	ENTP5_HUMAN	reviewed	Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (CD39 antigen-like 4) (ER-UDPase) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (EC 3.6.1.42) (Nucleoside diphosphatase) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)	ENTPD5 CD39L4 PCPH	Homo sapiens (Human)	428
O14638	ENPP3_HUMAN	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (NPP3) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]	ENPP3 PDNP3	Homo sapiens (Human)	875
Q8NHP7	EXD1_HUMAN	reviewed	piRNA biogenesis protein EXD1 (Exonuclease 3'-5' domain-containing protein 1) (Exonuclease 3'-5' domain-like-containing protein 1) (Inactive exonuclease EXD1)	EXD1 EXDL1	Homo sapiens (Human)	514
P28161	GSTM2_HUMAN	reviewed	Glutathione S-transferase Mu 2 (EC 2.5.1.18) (GST class-mu 2) (GSTM2-2)	GSTM2 GST4	Homo sapiens (Human)	218
P46439	GSTM5_HUMAN	reviewed	Glutathione S-transferase Mu 5 (EC 2.5.1.18) (GST class-mu 5) (GSTM5-5)	GSTM5	Homo sapiens (Human)	218
P0CG30	GSTT2_HUMAN	reviewed	Glutathione S-transferase theta-2B (EC 2.5.1.18) (GST class-theta-2) (Glutathione S-transferase theta-2)	GSTT2B GSTT2	Homo sapiens (Human)	244
P51161	FABP6_HUMAN	reviewed	Gastrotropin (GT) (Fatty acid-binding protein 6) (Ileal lipid-binding protein) (ILBP) (Intestinal 15 kDa protein) (I-15P) (Intestinal bile acid-binding protein) (I-BABP)	FABP6 ILBP ILLBP	Homo sapiens (Human)	128
Q9H6B9	EPHX3_HUMAN	reviewed	Epoxide hydrolase 3 (EH3) (EC 3.3.2.10) (Abhydrolase domain-containing protein 9)	EPHX3 ABHD9	Homo sapiens (Human)	360
P09210	GSTA2_HUMAN	reviewed	Glutathione S-transferase A2 (EC 2.5.1.18) (GST HA subunit 2) (GST class-alpha member 2) (GST-gamma) (GSTA2-2) (GTH2)	GSTA2 GST2	Homo sapiens (Human)	222
Q16772	GSTA3_HUMAN	reviewed	Glutathione S-transferase A3 (EC 2.5.1.18) (GST class-alpha member 3) (Glutathione S-transferase A3-3)	GSTA3	Homo sapiens (Human)	222
O15217	GSTA4_HUMAN	reviewed	Glutathione S-transferase A4 (EC 2.5.1.18) (GST class-alpha member 4) (Glutathione S-transferase A4-4)	GSTA4	Homo sapiens (Human)	222
P21266	GSTM3_HUMAN	reviewed	Glutathione S-transferase Mu 3 (EC 2.5.1.18) (GST class-mu 3) (GSTM3-3) (hGSTM3-3)	GSTM3 GST5	Homo sapiens (Human)	225
P78417	GSTO1_HUMAN	reviewed	Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R)	GSTO1 GSTTLP28	Homo sapiens (Human)	241
Q01469	FABP5_HUMAN	reviewed	Fatty acid-binding protein 5 (Epidermal-type fatty acid-binding protein) (E-FABP) (Fatty acid-binding protein, epidermal) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP)	FABP5	Homo sapiens (Human)	135
O75844	FACE1_HUMAN	reviewed	CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog)	ZMPSTE24 FACE1 STE24	Homo sapiens (Human)	475
Q9Y5Q0	FADS3_HUMAN	reviewed	Fatty acid desaturase 3 (EC 1.14.19.-) (Delta(13) fatty acid desaturase) (Delta(13) desaturase)	FADS3 CYB5RP	Homo sapiens (Human)	445
Q7Z2Z2	EFL1_HUMAN	reviewed	Elongation factor-like GTPase 1 (Elongation factor Tu GTP-binding domain-containing protein 1) (Elongation factor-like 1) (Protein FAM42A)	EFL1 EFTUD1 FAM42A	Homo sapiens (Human)	1120
P29317	EPHA2_HUMAN	reviewed	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	EPHA2 ECK	Homo sapiens (Human)	976
Q13227	GPS2_HUMAN	reviewed	G protein pathway suppressor 2 (GPS-2)	GPS2	Homo sapiens (Human)	327
P16452	EPB42_HUMAN	reviewed	Erythrocyte membrane protein band 4.2 (Erythrocyte protein 4.2) (P4.2)	EPB42 E42P	Homo sapiens (Human)	691
O60427	FADS1_HUMAN	reviewed	Acyl-CoA (8-3)-desaturase (EC 1.14.19.44) (Delta(5) fatty acid desaturase) (D5D) (Delta(5) desaturase) (Delta-5 desaturase) (Fatty acid desaturase 1)	FADS1 FADSD5	Homo sapiens (Human)	444
O95864	FADS2_HUMAN	reviewed	Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6) fatty acid desaturase) (D6D) (Delta(6) desaturase) (Delta-6 desaturase) (Fatty acid desaturase 2)	FADS2	Homo sapiens (Human)	444
Q8WVX9	FACR1_HUMAN	reviewed	Fatty acyl-CoA reductase 1 (EC 1.2.1.84) (Male sterility domain-containing protein 2)	FAR1 MLSTD2 UNQ2423/PRO4981	Homo sapiens (Human)	515
P02679	FIBG_HUMAN	reviewed	Fibrinogen gamma chain	FGG PRO2061	Homo sapiens (Human)	453
Q6PIW4	FIGL1_HUMAN	reviewed	Fidgetin-like protein 1 (EC 3.6.4.-)	FIGNL1	Homo sapiens (Human)	674
P35555	FBN1_HUMAN	reviewed	Fibrillin-1 [Cleaved into: Asprosin]	FBN1 FBN	Homo sapiens (Human)	2871
P02765	FETUA_HUMAN	reviewed	Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B]	AHSG FETUA PRO2743	Homo sapiens (Human)	367
Q8N465	D2HDH_HUMAN	reviewed	D-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.-)	D2HGDH D2HGD	Homo sapiens (Human)	521
P32321	DCTD_HUMAN	reviewed	Deoxycytidylate deaminase (EC 3.5.4.12) (dCMP deaminase)	DCTD	Homo sapiens (Human)	178
Q06278	AOXA_HUMAN	reviewed	Aldehyde oxidase (EC 1.2.3.1) (Aldehyde oxidase 1) (Azaheterocycle hydroxylase) (EC 1.17.3.-)	AOX1 AO	Homo sapiens (Human)	1338
P27338	AOFB_HUMAN	reviewed	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	MAOB	Homo sapiens (Human)	520
P18085	ARF4_HUMAN	reviewed	ADP-ribosylation factor 4	ARF4 ARF2	Homo sapiens (Human)	180
Q9BZP6	CHIA_HUMAN	reviewed	Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Lung-specific protein TSA1902)	CHIA	Homo sapiens (Human)	476
Q9BWS9	CHID1_HUMAN	reviewed	Chitinase domain-containing protein 1 (Stabilin-1-interacting chitinase-like protein) (SI-CLP)	CHID1 GL008 PSEC0104 SB139	Homo sapiens (Human)	393
Q9UNE7	CHIP_HUMAN	reviewed	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	STUB1 CHIP PP1131	Homo sapiens (Human)	303
Q13231	CHIT1_HUMAN	reviewed	Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)	CHIT1	Homo sapiens (Human)	466
Q9HAY6	BCDO1_HUMAN	reviewed	Beta,beta-carotene 15,15'-dioxygenase (EC 1.13.11.63) (Beta-carotene dioxygenase 1) (Beta-carotene oxygenase 1)	BCO1 BCDO BCDO1 BCMO1	Homo sapiens (Human)	547
Q5T5X7	BEND3_HUMAN	reviewed	BEN domain-containing protein 3	BEND3 KIAA1553	Homo sapiens (Human)	828
Q9BYV7	BCDO2_HUMAN	reviewed	Beta,beta-carotene 9',10'-oxygenase (EC 1.13.11.71) (B-diox-II) (Beta-carotene dioxygenase 2)	BCO2 BCDO2	Homo sapiens (Human)	579
P10415	BCL2_HUMAN	reviewed	Apoptosis regulator Bcl-2	BCL2	Homo sapiens (Human)	239
Q99807	COQ7_HUMAN	reviewed	5-demethoxyubiquinone hydroxylase, mitochondrial (DMQ hydroxylase) (EC 1.14.13.-) (Timing protein clk-1 homolog) (Ubiquinone biosynthesis monooxygenase COQ7)	COQ7	Homo sapiens (Human)	217
Q14457	BECN1_HUMAN	reviewed	Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197) [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa]	BECN1 GT197	Homo sapiens (Human)	450
P24468	COT2_HUMAN	reviewed	COUP transcription factor 2 (COUP-TF2) (Apolipoprotein A-I regulatory protein 1) (ARP-1) (COUP transcription factor II) (COUP-TF II) (Nuclear receptor subfamily 2 group F member 2)	NR2F2 ARP1 TFCOUP2	Homo sapiens (Human)	414
P16442	BGAT_HUMAN	reviewed	Histo-blood group ABO system transferase (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase) (EC 2.4.1.40) (Glycoprotein-fucosylgalactoside alpha-galactosyltransferase) (EC 2.4.1.37) (Histo-blood group A transferase) (A transferase) (Histo-blood group B transferase) (B transferase) (NAGAT) [Cleaved into: Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase soluble form]	ABO	Homo sapiens (Human)	354
Q15582	BGH3_HUMAN	reviewed	Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP)	TGFBI BIGH3	Homo sapiens (Human)	683
Q93088	BHMT1_HUMAN	reviewed	Betaine--homocysteine S-methyltransferase 1 (EC 2.1.1.5)	BHMT	Homo sapiens (Human)	406
O14791	APOL1_HUMAN	reviewed	Apolipoprotein L1 (Apolipoprotein L) (Apo-L) (ApoL) (Apolipoprotein L-I) (ApoL-I)	APOL1 APOL	Homo sapiens (Human)	398
Q9HBZ2	ARNT2_HUMAN	reviewed	Aryl hydrocarbon receptor nuclear translocator 2 (ARNT protein 2) (Class E basic helix-loop-helix protein 1) (bHLHe1)	ARNT2 BHLHE1 KIAA0307	Homo sapiens (Human)	717
P40616	ARL1_HUMAN	reviewed	ADP-ribosylation factor-like protein 1	ARL1	Homo sapiens (Human)	181
Q9C0K0	BC11B_HUMAN	reviewed	B-cell lymphoma/leukemia 11B (BCL-11B) (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein) (hRit1)	BCL11B CTIP2 RIT1	Homo sapiens (Human)	894
Q96H96	COQ2_HUMAN	reviewed	4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (4-hydroxybenzoate decaprenyltransferase) (COQ2 homolog) (hCOQ2) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)	COQ2 CL640	Homo sapiens (Human)	371
P08236	BGLR_HUMAN	reviewed	Beta-glucuronidase (EC 3.2.1.31) (Beta-G1)	GUSB	Homo sapiens (Human)	651
O95861	BPNT1_HUMAN	reviewed	3'(2'),5'-bisphosphate nucleotidase 1 (EC 3.1.3.7) (Bisphosphate 3'-nucleotidase 1) (PAP-inositol 1,4-phosphatase) (PIP)	BPNT1	Homo sapiens (Human)	308
Q7Z5W3	BN3D2_HUMAN	reviewed	RNA 5'-monophosphate methyltransferase (EC 2.1.1.-) (BCDIN3 domain-containing protein)	BCDIN3D	Homo sapiens (Human)	292
Q6PJG6	BRAT1_HUMAN	reviewed	BRCA1-associated ATM activator 1 (BRCA1-associated protein required for ATM activation protein 1)	BRAT1 BAAT1 C7orf27	Homo sapiens (Human)	821
Q4G0S4	C27C1_HUMAN	reviewed	Cytochrome P450 27C1 (EC 1.14.19.53) (All-trans retinol 3,4-desaturase)	CYP27C1	Homo sapiens (Human)	372
Q8N4F0	BPIB2_HUMAN	reviewed	BPI fold-containing family B member 2 (Bactericidal/permeability-increasing protein-like 1) (BPI-like 1) (Long palate, lung and nasal epithelium carcinoma-associated protein 2) (RYSR)	BPIFB2 BPIL1 C20orf184 LPLUNC2 UNQ2489/PRO5776	Homo sapiens (Human)	458
P19099	C11B2_HUMAN	reviewed	Cytochrome P450 11B2, mitochondrial (Aldosterone synthase) (ALDOS) (EC 1.14.15.4) (EC 1.14.15.5) (Aldosterone-synthesizing enzyme) (CYPXIB2) (Cytochrome P-450Aldo) (Cytochrome P-450C18) (Steroid 18-hydroxylase)	CYP11B2	Homo sapiens (Human)	503
P11586	C1TC_HUMAN	reviewed	C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Cleaved into: C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed] [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	MTHFD1 MTHFC MTHFD	Homo sapiens (Human)	935
Q9H2M3	BHMT2_HUMAN	reviewed	S-methylmethionine--homocysteine S-methyltransferase BHMT2 (SMM-hcy methyltransferase) (EC 2.1.1.10) (Betaine--homocysteine S-methyltransferase 2)	BHMT2	Homo sapiens (Human)	363
P50747	BPL1_HUMAN	reviewed	Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]	HLCS	Homo sapiens (Human)	726
Q9GZV9	FGF23_HUMAN	reviewed	Fibroblast growth factor 23 (FGF-23) (Phosphatonin) (Tumor-derived hypophosphatemia-inducing factor) [Cleaved into: Fibroblast growth factor 23 N-terminal peptide; Fibroblast growth factor 23 C-terminal peptide]	FGF23 HYPF UNQ3027/PRO9828	Homo sapiens (Human)	251
P11362	FGFR1_HUMAN	reviewed	Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)	FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR	Homo sapiens (Human)	822
Q8NFG4	FLCN_HUMAN	reviewed	Folliculin (BHD skin lesion fibrofolliculoma protein) (Birt-Hogg-Dube syndrome protein)	FLCN BHD	Homo sapiens (Human)	579
P49327	FAS_HUMAN	reviewed	Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	FASN FAS	Homo sapiens (Human)	2511
Q13630	FCL_HUMAN	reviewed	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase) (Protein FX) (Red cell NADP(H)-binding protein) (Short-chain dehydrogenase/reductase family 4E member 1)	TSTA3 SDR4E1	Homo sapiens (Human)	321
P37268	FDFT_HUMAN	reviewed	Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase)	FDFT1	Homo sapiens (Human)	417
P02751	FINC_HUMAN	reviewed	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	FN1 FN	Homo sapiens (Human)	2386
Q969Z0	FAKD4_HUMAN	reviewed	FAST kinase domain-containing protein 4 (Cell cycle progression restoration protein 2) (Cell cycle progression protein 2) (Protein TBRG4) (Transforming growth factor beta regulator 4)	TBRG4 CPR2 FASTKD4 KIAA0948	Homo sapiens (Human)	631
P02771	FETA_HUMAN	reviewed	Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)	AFP HPAFP	Homo sapiens (Human)	609
P22455	FGFR4_HUMAN	reviewed	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)	FGFR4 JTK2 TKF	Homo sapiens (Human)	802
P15328	FOLR1_HUMAN	reviewed	Folate receptor alpha (FR-alpha) (Adult folate-binding protein) (FBP) (Folate receptor 1) (Folate receptor, adult) (KB cells FBP) (Ovarian tumor-associated antigen MOv18)	FOLR1 FOLR	Homo sapiens (Human)	257
Q96K12	FACR2_HUMAN	reviewed	Fatty acyl-CoA reductase 2 (EC 1.2.1.84) (Male sterility domain-containing protein 1)	FAR2 MLSTD1	Homo sapiens (Human)	515
Q8NFF5	FAD1_HUMAN	reviewed	FAD synthase (EC 2.7.7.2) (FAD pyrophosphorylase) (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase) [Includes: Molybdenum cofactor biosynthesis protein-like region; FAD synthase region]	FLAD1 PP591	Homo sapiens (Human)	587
Q53R41	FAKD1_HUMAN	reviewed	FAST kinase domain-containing protein 1, mitochondrial	FASTKD1 KIAA1800	Homo sapiens (Human)	847
Q6P4F2	FDX2_HUMAN	reviewed	Ferredoxin-2, mitochondrial (Adrenodoxin-like protein) (Ferredoxin-1-like protein)	FDX2 FDX1L	Homo sapiens (Human)	186
P49789	FHIT_HUMAN	reviewed	Bis(5'-adenosyl)-triphosphatase (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Diadenosine 5',5'''-P1,P3-triphosphate hydrolase) (Dinucleosidetriphosphatase) (Fragile histidine triad protein)	FHIT	Homo sapiens (Human)	147
O75344	FKBP6_HUMAN	reviewed	Inactive peptidyl-prolyl cis-trans isomerase FKBP6 (Inactive PPIase FKBP6) (36 kDa FK506-binding protein) (36 kDa FKBP) (FKBP-36) (FK506-binding protein 6) (FKBP-6) (Immunophilin FKBP36)	FKBP6 FKBP36	Homo sapiens (Human)	327
Q14192	FHL2_HUMAN	reviewed	Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3)	FHL2 DRAL SLIM3	Homo sapiens (Human)	279
Q01740	FMO1_HUMAN	reviewed	Dimethylaniline monooxygenase [N-oxide-forming] 1 (EC 1.14.13.8) (Dimethylaniline oxidase 1) (Fetal hepatic flavin-containing monooxygenase 1) (FMO 1)	FMO1	Homo sapiens (Human)	532
Q96C11	FGGY_HUMAN	reviewed	FGGY carbohydrate kinase domain-containing protein (EC 2.7.1.-)	FGGY	Homo sapiens (Human)	551
Q99518	FMO2_HUMAN	reviewed	Dimethylaniline monooxygenase [N-oxide-forming] 2 (EC 1.14.13.8) (Dimethylaniline oxidase 2) (FMO 1B1) (Pulmonary flavin-containing monooxygenase 2) (FMO 2)	FMO2	Homo sapiens (Human)	471
O14772	FPGT_HUMAN	reviewed	Fucose-1-phosphate guanylyltransferase (EC 2.7.7.30) (GDP-L-fucose diphosphorylase) (GDP-L-fucose pyrophosphorylase)	FPGT GFPP	Homo sapiens (Human)	607
Q16595	FRDA_HUMAN	reviewed	Frataxin, mitochondrial (EC 1.16.3.1) (Friedreich ataxia protein) (Fxn) [Cleaved into: Frataxin intermediate form (i-FXN); Frataxin(56-210) (m56-FXN); Frataxin(78-210) (d-FXN) (m78-FXN); Frataxin mature form (Frataxin(81-210)) (m81-FXN)]	FXN FRDA X25	Homo sapiens (Human)	210
O95954	FTCD_HUMAN	reviewed	Formimidoyltransferase-cyclodeaminase (Formiminotransferase-cyclodeaminase) (FTCD) (LCHC1) [Includes: Glutamate formimidoyltransferase (EC 2.1.2.5) (Glutamate formiminotransferase) (Glutamate formyltransferase); Formimidoyltetrahydrofolate cyclodeaminase (EC 4.3.1.4) (Formiminotetrahydrofolate cyclodeaminase)]	FTCD	Homo sapiens (Human)	541
Q11128	FUT5_HUMAN	reviewed	Alpha-(1,3)-fucosyltransferase 5 (EC 2.4.1.65) (Fucosyltransferase 5) (Fucosyltransferase V) (Fuc-TV) (FucT-V) (Galactoside 3-L-fucosyltransferase)	FUT5	Homo sapiens (Human)	374
P02671	FIBA_HUMAN	reviewed	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	FGA	Homo sapiens (Human)	866
Q9H479	FN3K_HUMAN	reviewed	Fructosamine-3-kinase (EC 2.7.1.-)	FN3K	Homo sapiens (Human)	309
P49354	FNTA_HUMAN	reviewed	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha)	FNTA	Homo sapiens (Human)	379
Q12948	FOXC1_HUMAN	reviewed	Forkhead box protein C1 (Forkhead-related protein FKHL7) (Forkhead-related transcription factor 3) (FREAC-3)	FOXC1 FKHL7 FREAC3	Homo sapiens (Human)	553
P01034	CYTC_HUMAN	reviewed	Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin)	CST3	Homo sapiens (Human)	146
P32247	BRS3_HUMAN	reviewed	Bombesin receptor subtype-3 (BRS-3)	BRS3	Homo sapiens (Human)	399
P43251	BTD_HUMAN	reviewed	Biotinidase (Biotinase) (EC 3.5.1.12)	BTD	Homo sapiens (Human)	543
Q9Y5P4	C43BP_HUMAN	reviewed	Collagen type IV alpha-3-binding protein (Ceramide transfer protein) (hCERT) (Goodpasture antigen-binding protein) (GPBP) (START domain-containing protein 11) (StARD11) (StAR-related lipid transfer protein 11)	COL4A3BP CERT STARD11	Homo sapiens (Human)	624
P19022	CADH2_HUMAN	reviewed	Cadherin-2 (CDw325) (Neural cadherin) (N-cadherin) (CD antigen CD325)	CDH2 CDHN NCAD	Homo sapiens (Human)	906
O43852	CALU_HUMAN	reviewed	Calumenin (Crocalbin) (IEF SSP 9302)	CALU	Homo sapiens (Human)	315
O95972	BMP15_HUMAN	reviewed	Bone morphogenetic protein 15 (BMP-15) (Growth/differentiation factor 9B) (GDF-9B)	BMP15 GDF9B	Homo sapiens (Human)	392
Q5VZK9	CARL1_HUMAN	reviewed	F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (Leucine-rich repeat-containing protein 16A)	CARMIL1 CARMIL LRRC16 LRRC16A	Homo sapiens (Human)	1371
B2RXH4	BTBDI_HUMAN	reviewed	BTB/POZ domain-containing protein 18	BTBD18	Homo sapiens (Human)	712
Q6UB35	C1TM_HUMAN	reviewed	Monofunctional C1-tetrahydrofolate synthase, mitochondrial (EC 6.3.4.3) (Formyltetrahydrofolate synthetase)	MTHFD1L FTHFSDC1	Homo sapiens (Human)	978
P00915	CAH1_HUMAN	reviewed	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase B) (CAB) (Carbonic anhydrase I) (CA-I)	CA1	Homo sapiens (Human)	261
Q96G97	BSCL2_HUMAN	reviewed	Seipin (Bernardinelli-Seip congenital lipodystrophy type 2 protein)	BSCL2	Homo sapiens (Human)	398
P38398	BRCA1_HUMAN	reviewed	Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1)	BRCA1 RNF53	Homo sapiens (Human)	1863
Q9BXJ1	C1QT1_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 1 (G protein-coupled receptor-interacting protein) (GIP)	C1QTNF1 CTRP1 UNQ310/PRO353	Homo sapiens (Human)	281
P43155	CACP_HUMAN	reviewed	Carnitine O-acetyltransferase (Carnitine acetylase) (EC 2.3.1.7) (Carnitine acetyltransferase) (CAT) (CrAT)	CRAT CAT1	Homo sapiens (Human)	626
P23280	CAH6_HUMAN	reviewed	Carbonic anhydrase 6 (EC 4.2.1.1) (Carbonate dehydratase VI) (Carbonic anhydrase VI) (CA-VI) (Salivary carbonic anhydrase) (Secreted carbonic anhydrase)	CA6	Homo sapiens (Human)	308
Q13490	BIRC2_HUMAN	reviewed	Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2)	BIRC2 API1 MIHB RNF48	Homo sapiens (Human)	618
P12644	BMP4_HUMAN	reviewed	Bone morphogenetic protein 4 (BMP-4) (Bone morphogenetic protein 2B) (BMP-2B)	BMP4 BMP2B DVR4	Homo sapiens (Human)	408
Q86WA6	BPHL_HUMAN	reviewed	Valacyclovir hydrolase (VACVase) (Valacyclovirase) (EC 3.1.-.-) (Biphenyl hydrolase-like protein) (Biphenyl hydrolase-related protein) (Bph-rp) (Breast epithelial mucin-associated antigen) (MCNAA)	BPHL MCNAA	Homo sapiens (Human)	291
P12643	BMP2_HUMAN	reviewed	Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A)	BMP2 BMP2A	Homo sapiens (Human)	396
Q96Q07	BTBD9_HUMAN	reviewed	BTB/POZ domain-containing protein 9	BTBD9 KIAA1880	Homo sapiens (Human)	612
Q86X55	CARM1_HUMAN	reviewed	Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4)	CARM1 PRMT4	Homo sapiens (Human)	608
